period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
21.47642727,5.5498,348130.0,59.5,0.1515,Kepler,0.9271821384033916,5289.787027643657,4.509298102472452
15.4941223,2.21,3033.957310528968,8.011694498654752,0.11556279693259762,K2,0.654523,4047.0,4.60556
7.3138454,2.273,247.7,2.73,0.0762,Kepler,0.6806863089551068,4609.554814213482,4.640014051215852
0.566786121,3.404,81.8,0.79,0.0131,Kepler,0.6651964733131629,4402.948470665257,4.67987279170694
1.463148937,11.04,168.0,15.82,0.0266,Kepler,1.0253361793940017,4161.059612874471,4.690555453776611
373.89398,27.66,730.0,2.51,0.8885,Kepler,2.2274093566689235,5145.155596113613,4.5141253833441235
63.12379762,1.87,703.9990572761518,17.36979411837016,0.32693740758460954,Kepler,0.7993004604392251,4727.581544360684,4.547127218945728
7.91936937,3.3148,15148.0,10.34,0.0737,Kepler,0.8774701029329438,5266.420365112863,4.515855057852823
5.18560081,4.054,252.6,2.34,0.0631,Kepler,0.771085553736601,4482.916308081763,4.38964419955588
41.7084063,8.567,330.0,2.19,0.2482,Kepler,0.9294512267611629,5722.595079282681,4.486396008526114
17.6997392,2.76,752.7,1.96,0.1218,Kepler,0.6379534977287808,4315.065924644307,4.642226355933531
7.170710381,2.9225,863.3,2.73,0.0699,Kepler,0.8189403084352105,5227.131038102259,4.535874672433103
59.6222627,6.888,993.4,3.63,0.3059,Kepler,0.9906012933574964,4433.320986385858,4.610751783891748
3.47143963,3.663,99.8,1.19,0.0471,Kepler,0.39096490663868966,3549.1110634199126,4.743676889219524
1.40469182,6.26327,702440.0,217.25,0.0275,Kepler,0.9840607719157178,4326.007707341823,4.675079425801079
10.328035714,7.7915,16918.0,13.28,0.0888,Kepler,0.7706156226060589,4681.693282272113,4.648014971609979
1.23138339,3.943,72.7,0.82,0.023,Kepler,1.3249615781941788,5393.752071913074,4.357735295998305
0.762132307,1.22,63.7,0.75,0.0162,Kepler,1.8889707441978278,4234.825747747539,4.380696658479165
7.31945294,4.881,166.8,5.05,0.0898,Kepler,1.3746603074397539,6078.155886124977,4.37292316965227
2.42150341,2.965,171.5,1.62,0.0382,Kepler,0.16283665965609176,2720.3373972359773,5.209099528120774
24.7962801,8.33,574.4,2.7,0.1677,Kepler,0.6695757962344967,4412.275960788132,4.649197236946924
114.734287,3.724,242.9,1.1,0.4069,Kepler,0.4916292480134754,4376.310962012664,4.83457395637691
4.397187,5.8848,218671.25314421367,54.58682606015352,0.05397946394432827,K2,1.71021,6090.0,4.02887
3.105507835,1.7458,904.6,2.68,0.0399,Kepler,0.8875397788159586,4736.3296761601805,4.545311851814693
2.4841981,2.0136,34180.95899007301,15.54,0.040711650789009596,K2,1.322,6146.480619646711,4.257265567540323
15.611,3.304,887.927507695766,2.884,0.131,K2,1.22,6252.6,4.372
1.05459,0.5623518166585527,192.9162461515881,1.29,0.020630524708509287,K2,0.533176,3445.0,4.7085
5.36652724,8.367,3122.5,7.97,0.0588,Kepler,0.8846540259541762,4180.182241865734,4.282011727709473
1.6911935,9.479,2801.0,6.36,0.0278,Kepler,1.2079831774671164,5246.021264026794,4.353638866644017
4.1591492,3.558738914587391,339.44110971865257,12.753558019322703,0.04904984849275284,K2,1.137,5552.0,4.343709587955909
