period,duration,depth,planet_radius,disposition,semi_major_axis,source,star_radius,teff,logg
9.48803557,2.9575,615.8,2.26,CONFIRMED,0.0853,Kepler,,,
54.4183827,4.507,874.8,2.83,CONFIRMED,0.2734,Kepler,,,
19.89913995,1.7822,10829.0,14.6,CANDIDATE,0.1419,Kepler,,,
1.736952453,2.40641,8079.2,33.46,FALSE POSITIVE,0.0267,Kepler,,,
2.525591777,1.6545,603.3,2.75,CONFIRMED,0.0374,Kepler,,,
11.09432054,4.5945,1517.5,3.9,CONFIRMED,0.0992,Kepler,,,
4.13443512,3.1402,686.0,2.77,CONFIRMED,0.0514,Kepler,,,
2.56658897,2.429,226.5,1.59,CONFIRMED,0.0374,Kepler,,,
7.36178958,5.022,233.7,39.21,FALSE POSITIVE,0.082,Kepler,,,
16.06864674,3.5347,4914.3,5.76,CONFIRMED,0.1158,Kepler,,,
2.470613377,1.74319,14231.0,13.04,CONFIRMED,0.0354,Kepler,,,
2.204735417,3.88864,6674.7,16.1,CONFIRMED,0.0376,Kepler,,,
3.522498429,3.19843,9145.7,14.59,CONFIRMED,0.0473,Kepler,,,
3.709214104,2.6302,131.1,1.16,CONFIRMED,0.0465,Kepler,,,
11.521446064,3.6399,17984.0,150.51,FALSE POSITIVE,0.0978,Kepler,,,
19.40393776,12.2155,8918.7,7.18,FALSE POSITIVE,0.123,Kepler,,,
19.221388942,4.79843,74284.0,49.29,FALSE POSITIVE,0.1417,Kepler,,,
16.46983774,9.4378,10479.0,7.94,FALSE POSITIVE,0.1147,Kepler,,,
9.27358173,3.2875,1288.3,2.47,CONFIRMED,0.0759,Kepler,,,
6.02930329,1.5821,1912.7,2.85,CONFIRMED,0.0585,Kepler,,,
2.696370652,3.6129,397.9,1.58,FALSE POSITIVE,0.0349,Kepler,,,
5.349553819,3.0278,831.0,2.55,CONFIRMED,0.0563,Kepler,,,
3.94105221,2.5984,363.3,1.7,CONFIRMED,0.046,Kepler,,,
8.10904807,3.596,217.4,1.3,CONFIRMED,0.0743,Kepler,,,
386.6030528,6.8057,24927.0,41.5,FALSE POSITIVE,1.0719,Kepler,,,
21.67699193,3.4555,857.2,2.95,CONFIRMED,0.1408,Kepler,,,
4.99677968,2.1717,934.7,2.78,CONFIRMED,0.0559,Kepler,,,
4.280963604,2.875,750.8,2.3,CONFIRMED,0.0503,Kepler,,,
1.50635409,1.5155,2211.7,4.53,FALSE POSITIVE,0.025,Kepler,,,
670.645531,53.412,18091.0,14.14,FALSE POSITIVE,1.5155,Kepler,,,
61.2563628,7.633,5123.3,39.87,FALSE POSITIVE,0.3137,Kepler,,,
38.3775486,5.588,724.2,2.82,CONFIRMED,0.2163,Kepler,,,
41.19725502,4.6297,2213.9,3.86,CONFIRMED,0.217,Kepler,,,
6.252962249,2.5819,1036.9,2.65,CONFIRMED,0.0617,Kepler,,,
16.01308419,3.2554,1121.9,3.1,CONFIRMED,0.1148,Kepler,,,
32.62876672,4.7971,1804.8,3.36,CONFIRMED,0.1889,Kepler,,,
91.7732862,6.473,652.0,2.12,CONFIRMED,0.3764,Kepler,,,
4.959319244,2.22739,9802.0,12.21,CONFIRMED,0.0565,Kepler,,,
2.701287801,3.3827,860.4,6.54,FALSE POSITIVE,0.0365,Kepler,,,
4.49876511,3.7362,460.0,2.1,CONFIRMED,0.0542,Kepler,,,
19.651209505,5.2514,11766.0,12.42,FALSE POSITIVE,0.1433,Kepler,,,
5.412203927,2.9472,601.6,2.94,CONFIRMED,0.0591,Kepler,,,
41.43958662,10.5989,2793.1,5.5,CONFIRMED,0.2288,Kepler,,,
8.35389523,2.2514,1041.6,2.52,CONFIRMED,0.0768,Kepler,,,
4.125543472,3.1744,1487.3,4.43,CONFIRMED,0.0529,Kepler,,,
2.816504904,2.50587,16814.0,12.21,CONFIRMED,0.0383,Kepler,,,
33.93373447,14.561,8503.7,7.34,FALSE POSITIVE,0.1881,Kepler,,,
3.689920099,2.6557,426.7,1.89,CONFIRMED,0.0469,Kepler,,,
4.431238488,3.15,1010.9,3.25,CONFIRMED,0.0529,Kepler,,,
11.37936986,2.6255,1023.5,3.95,CONFIRMED,0.0993,Kepler,,,
26.39432897,3.573,1510.9,3.07,CONFIRMED,0.1635,Kepler,,,
13.57078281,3.3539,511.7,2.64,CONFIRMED,0.1096,Kepler,,,
7.12594387,3.0014,192.4,1.79,CONFIRMED,0.0711,Kepler,,,
7.442652004,2.3078,24446.0,15.03,FALSE POSITIVE,0.0742,Kepler,,,
16.38489988,3.0249,1127.1,2.0,CONFIRMED,0.1084,Kepler,,,
7.8774163,2.0805,1306.1,2.16,CONFIRMED,0.0665,Kepler,,,
36.4454001,4.007,1122.3,1.99,CONFIRMED,0.1847,Kepler,,,
3.728732147,2.683,5226.5,6.02,CONFIRMED,0.0455,Kepler,,,
40.4195037,3.362,6256.0,7.51,CANDIDATE,0.2062,Kepler,,,
2.243380573,1.1196,821.7,1.99,CONFIRMED,0.028,Kepler,,,
10.405998015,6.5036,14489.0,11.23,FALSE POSITIVE,0.0855,Kepler,,,
2.337437946,1.9982,971.2,2.34,CONFIRMED,0.0325,Kepler,,,
7.2406612,0.558,556.4,19.45,CANDIDATE,0.0692,Kepler,,,
3.43591631,3.133,23.2,0.55,CANDIDATE,0.0437,Kepler,,,
11.59822233,2.5237,2804.5,2.65,CONFIRMED,0.0798,Kepler,,,
